Question Id,Question Title,Answered Student Count,Top Student Count,Middle Student Count,Bottom Student Count,Quiz Question Count,Correct Student Count,Wrong Student Count,Correct Student Ratio,Wrong Student Ratio,Correct Top Student Count,Correct Middle Student Count,Correct Bottom Student Count,Variance,Standard Deviation,Difficulty Index,Alpha,Point Biserial of Correct,Point Biserial of Distractor 2,Point Biserial of Distractor 3,Point Biserial of Distractor 4,Point Biserial of Distractor 5,Point Biserial of Distractor 6
1102349,"In English, many words beginning with “gl-“ have meanings relating to LIGHT or VISION. This appears to violate the principle of:",200,55,94,51,65,133,67,0.665,0.335,41,67,25,0.222775,0.4719904660054057,0.665,0.8877904144270543,0.1785076622018043,0.062021094680473836,-0.18271114553445353,0.030772230554147757,-0.11219175930150527,
1102350,"According to research discussed in class, iconic words are:",200,55,94,51,65,166,34,0.83,0.17,53,81,32,0.1411,0.375632799419859,0.83,0.8877904144270543,0.41124499733569353,-0.15340381601058065,-0.3225720259083506,-0.22367172635843421,,
1102353,"According to research discussed in class, iconic communication systems:",200,55,94,51,65,152,48,0.76,0.24,47,75,30,0.18239999999999998,0.4270831300812524,0.76,0.8877904144270543,0.3032237843726262,-0.32528213512618426,-0.10717332876307226,,,
1102355,Words referring to abstract concepts are not particularly common.,200,55,94,51,65,193,7,0.965,0.035,54,90,49,0.033775,0.18377975949489106,0.965,0.8877904144270543,0.10880476340508594,-0.10880476340508588,,,,
1102356,Which of the following pieces of evidence is hardest to reconcile with the view that all linguistic knowledge comes from direct sensorimotor experience? (Note: some of these might simply be described as “irrelevant”.),200,55,94,51,65,180,20,0.9,0.1,53,86,41,0.09,0.3,0.9,0.8877904144270543,0.20715152281661664,-0.1167361136501577,-0.15354665395058387,-0.07442792220071485,-0.01947211489743929,
1102357,Purely amodal accounts of cognition have a hard time overcoming:,200,55,94,51,65,147,53,0.735,0.265,43,69,35,0.194775,0.4413332074521472,0.735,0.8877904144270543,0.12184722113849228,0.04567170271733289,-0.04557656179143984,-0.24036884577513457,-0.04149043384284899,0.057733900598252196
1102358,The “argument from introspection” for embodied accounts is best described as:,200,55,94,51,65,174,26,0.87,0.13,55,85,34,0.1131,0.33630343441600474,0.87,0.8877904144270543,0.37457217288552724,-0.21885962383462346,-0.2986542096878599,0.006003522710810892,,
1102359,"(NOTE: The following scenario will be revisited for several questions.)
Suppose we are interested in whether people simulate the implied shape of an object. Participants read sentences like “The lobster was in the sea” (e.g., a living creature) vs. “The lobster was on the plate” (e.g., a dish for dinner). Later, they are shown pictures of different objects, and are asked whether these pictures appeared in the sentences they read before. Some of these pictures match the orientation from before, while others don’t. We measure subjects’ d-prime (d’), a kind of measure of recall accuracy. What are the dependent and independent variables?",200,55,94,51,65,180,20,0.9,0.1,55,84,41,0.09,0.3,0.9,0.8877904144270543,0.21497132392851534,-0.17295459296586171,-0.07608464291577285,-0.12015382019214965,,
1102360,"Suppose we are interested in whether people simulate the implied shape of an object. Participants read sentences like “The lobster was in the sea” (e.g., a living creature) vs. “The lobster was on the plate” (e.g., a dish for dinner). Later, they are shown pictures of different objects, and are asked whether these pictures appeared in the sentences they read before. Some of these pictures match the orientation from before, while others don’t. We measure subjects’ d-prime (d’), a kind of measure of recall accuracy. If people do simulate implied shape, what should we predict about this measure?",200,55,94,51,65,196,4,0.98,0.02,55,93,48,0.0196,0.13999999999999999,0.98,0.8877904144270543,0.21179966964167132,,-0.15000997566921626,-0.01947211489743929,-0.18930969895243996,
1102361,"Consider the same experiment investigating the simulation of implied shape. If we did find evidence consistent with simulation, what could we conclude from this experimental design?",200,55,94,51,65,179,21,0.895,0.105,54,89,36,0.09397499999999999,0.3065534211193866,0.895,0.8877904144270543,0.3648041405883469,-0.10987791188063137,-0.0607917018092114,-0.36721890110628136,,
