question,opt1,opt2,opt3,opt4,opt5,opt6,options,answer_text,answer_letter,topic
"According to researchers like Zipf (1949), languages are subject to a speaker-centric pressure called ______, and a comprehender-centric pressure called ________.",Unification; Diversification,Diversification; Unification,Ease; Clarity,Clarity; Ease,Nativism; Anti-nativism,Anti-nativism; Nativism,6,Unification; Diversification,A.,Efficiency
"Which of the following pieces of evidence, if true, would be most inconsistent with the view that language is shaped solely by a drive for efficiency?","Even in languages with strict word order, case marking is preserved to a greater extent when it is associated with a positive social bias. ","Languages with strict word order tend to lose case marking, because they convey redundant information.",Languages with case marking tend to have more flexible word orders.,"Color naming systems around the world tend to maximize within-category similarity, and across-category dissimilarity.","Social biases, e.g., markers of social class, do not affect whether case marking is preserved.",,5,"Even in languages with strict word order, case marking is preserved to a greater extent when it is associated with a positive social bias.",A.,Efficiency
"(T/F) Although color naming systems differ in exactly how they ""carve up"" the color space, all color naming systems have the same number of color terms.",FALSE,TRUE,,,,,2,FALSE,A.,Efficiency
"(T/F) Although color naming systems differ in exactly how they ""carve up"" the color space, they all tend to maximize within-category similarity and across-category dissimilarity.",TRUE,FALSE,,,,,2,TRUE,A.,Efficiency
"(T/F) In languages with case marking, the question of ""who did what to whom"" is typically determined by strict rules about word ordering.",FALSE,TRUE,,,,,2,FALSE,A.,Efficiency
"Suppose a researcher discovers that people are more likely to ""twitch"" their ears at the end of a turn-constructional unit (TCU) than elsewhere in a conversation. Does this entail that ""ear-twitching"" is intended as a communicative signal?","No; it's possible that it indexes something else, like lower cognitive load.","Yes; it likely indexes lower cognitive load, which means it is intended as a communicative signal.","Yes; it is co-timed with other back-channels, which means it is intended as a communicative signal.","No; if it was a communicative signal, it should be randomly distributed throughout the conversation.",,,4,"No; it's possible that it indexes something else, like lower cognitive load.",A.,Conversation
"Suppose Tyler is telling Harshada about an event that happened recently. Harshada isn't sure she heard correctly, so she says: ""This was yesterday?"" What conversational device is this an example of?",Restricted offer,Restricted request,Open request,Self-initiated repair,Collateral interjection,,5,Restricted offer,A.,Conversation
"In a study investigating open request repairs across ten languages, Dingemanse et al (2013) found:",The intonational pattern of open request repairs is calibrated to the prosody of yes/no questions in that language.,Open request repairs have the same prosodic intonation across all ten languages.,"Open request repairs are always initiated by the speaker, with a preference for ""third-turn repair"" at the latest.",Open request repairs exhibit very little systematicity across languages.,,,4,The intonational pattern of open request repairs is calibrated to the prosody of yes/no questions in that language.,A.,Conversation
"Consider the following transcript: ""I was thinking {uh} of going to that {um} movie tonight"". Which of the following predictions would be most consistent with Clark & Fox Tree (2002)?","The delay before ""of"" should be shorter than the delay before ""movie"".","The delay before ""of"" should be longer than the delay before ""movie"".","There should be no difference in the length of delay before ""of"" or ""movie"".",The comprehender will respond to the statement with a try-marker.,,,4,"The delay before ""of"" should be shorter than the delay before ""movie"".",A.,Conversation
Conversations succeed in part because:,They have dedicated systems for managing turns.,The content of conversations is planned in advance.,The order of turns in a conversation is pre-specified.,"Contributions to conversation are typically complete sentences, which are easier to parse than fragmentary input.","They follow a maximal gap, minimal overlap principle.",,5,They have dedicated systems for managing turns.,A.,Conversation
